tiempo,ps0_raw,ps0_simple,ps0_kal,ps7_raw,ps7_simple,ps7_kal,ps2_raw,ps2_simple,ps2_kal,ps5_raw,ps5_simple,ps5_kal,enc_left,enc_right
6.35,66.9488,66.2126,66.5662,60.8545,66.8313,67.8082,65.3934,65.452,66.2628,60.7691,67.9373,500.5725,471.74104,341.08564
6.4,66.7032,65.3781,66.5833,72.2538,66.8349,68.5433,69.0279,64.8034,66.7236,70.1453,67.3238,428.8347,472.14296,341.36196
6.45,68.8911,67.0001,66.9621,79.8951,69.8405,70.4294,68.2157,66.0798,66.9723,69.3673,66.5517,368.9234,472.54488,341.64456
6.5,67.8376,67.5521,67.1022,102.8022,76.4589,75.8191,71.7716,67.9609,67.7722,66.0795,66.7441,318.4494,472.94052,341.92716
6.55,69.8116,68.0385,67.5479,133.5936,89.8798,85.4423,69.1976,68.7212,68.0098,70.9323,67.4587,277.1966,473.34244,342.20976
6.6,70.5077,68.7502,68.0412,140.9692,105.9028,94.6968,68.9706,69.4367,68.1699,71.641,69.6331,242.9373,473.5434,342.0088
6.65,68.1806,69.0457,68.0644,75.6312,106.5783,91.5192,63.6019,68.3515,67.4086,66.528,68.9096,213.5358,473.74436,341.80784
6.7,66.086,68.4847,67.7347,69.4429,104.4878,87.8398,65.9622,67.9008,67.1675,69.9479,69.0257,189.6044,473.94532,341.60688
6.75,64.8291,67.883,67.2504,66.7995,97.2873,84.3331,64.2439,66.3952,66.6802,68.0739,69.4246,169.3494,474.14628,341.40592
6.8,66.7239,67.2655,67.1627,68.4968,84.2679,81.6937,70.4398,66.6437,67.3068,71.9586,69.6299,153.1176,474.34724,341.20496
6.85,65.1347,66.1909,66.8247,70.0269,70.0795,79.7493,67.9558,66.4407,67.415,85.6078,72.4232,141.8659,474.5482,341.004
6.9,63.3458,65.2239,66.239,69.6011,68.8734,78.0521,67.9942,67.3192,67.5115,66.3507,72.3878,129.2801,474.95012,341.2866
6.95,61.2957,64.2658,65.4093,74.7177,69.9284,77.4905,65.7888,67.2845,67.2244,63.5835,71.1149,118.3306,475.35204,341.56292
7.0,60.3629,63.3726,64.5625,66.0894,69.7864,75.5845,68.2778,68.0913,67.4,102.5453,78.0092,115.6998,475.74768,341.84552
7.05,68.7331,63.7744,65.2517,69.1041,69.9079,74.4986,70.6775,68.1388,67.9462,126.0513,88.8277,117.425,476.1496,342.12812
7.1,68.3607,64.4196,65.764,67.4761,69.3977,73.3224,66.3077,67.8092,67.6731,184.5076,108.6077,128.6055,476.55152,342.41072
7.15,65.692,64.8889,65.7462,71.53,69.7835,73.0178,70.656,68.3416,68.1703,241.1761,143.5728,147.3672,476.95344,342.68704
